
// OUTPUT - 5
&&NEWSITEMSTEXT, 0
1197, "Trade for Technology", "Trade Military Aviation¶by October 1, 1936", "Diplomacy will aid us in many ways.  We can obtain research through trade with other nations.  Secure plans for 'Military Aviation' from the United States of America.  Use the 'Center' button to move the map to Washington. ¶¶Trade for this by October 1, 1936.¶¶Note - this trade item is found in the Technologies>>Warfare section. Add the tech to the side under the USA and then add money, in the Resources category on your side of the offer.  (They will want around $40 Million)", "Well done.  New techs such as 'Military Aviation' will help to improve our nation.  ¶¶What research should we obtain next?", "We have missed our target date for trading with the United States for 'Military Aviation'.  The threat from Japan is growing.  We must get ready.", "", "", "", ""
1198, "Victory - Europe", "Conquer the British¶", "We have stopped the Soviets.  If we can eliminate Great Britain, Europe will be finally be secure.", "Success", "Fail", "", "", "", ""
1199, "Rome-Berlin Axis", "We have the opportunity to¶create a relationship with Italy", "Relations between Italy and the World Market remain tense.  Our discussions with the Italians on the other hand are going very well.  With your approval, we would like to sign a treaty of friendship (Non Aggression Pact) with Italy.  This should reduce their objections to our interests in Austria.  Time is of the essence so we should look for an agreement within 50 days.", "Success", "Fail", "", "", "", ""
12, "Recommendation : Lower DEFCON", "Recommendation : Lower DEFCON to %s", "Based on the lower threat level our Region is now enjoying, I recommend that we reduce our Defense Condition (DEFCON) to Level %s.", "Our troops have been on a high state of alert for quite a while now.  I recommend we Lower our Defense Condition (DEFCON) to Level %s.  Not only will our troops then get a chance to rest, it will also reduce our overall maintenance and salaries costs", "", "Agree to lower DEFCON", "Deny.  Threats to Region ¶are still notable", "Postpone decision", ""
1200, "Expand the Anti-Comintern Pact", "Sign Non-Aggression with %s%s.¶", "Italy continues to respond favorably to our actions and overtures.  If we can bring them into our Anti-Comintern Pact, it will further solidify our position and may encourage them to retract their objections to our claims on Austria.  If you agree, we will send them the offer.", "Success", "Fail", "", "", "", ""
1201, "Soviet Union overtures", "", "Recent talks between the Soviets and the Western Powers have failed to yield any agreements so it seems that Stalin hopes to approach us instead.  While we have no real interest in cooperating with the communists, there are economic advantages to playing along for now.  If the French and British are sincere in their guarantees to the Poles, we will want to assure we don't have to face the Soviets until a time of our choosing.  ", "", "", "", "", "", ""
1202, "Victory - Asia", "Conquer South East Asia¶", "Conquer Australia, Marianas, New Heb., East Indies, Philippines, Indochina", "Success", "Fail", "", "", "", ""
1203, "Reinforce Formosa and Seoul", "20 Battalions to both ¶Formosa and Seoul", "Continued possession of Formosa and Korea are critical to our ambitions.  We need to ensure that they remain protected at all costs.  Our military advisers have recommended that we maintain at least 20 units both to the Battle Zone surrounding Seoul and on the Island of Formosa.  Seoul should also be heavily garrisoned to help protect it.", "Success", "Fail", "", "", "", ""
1204, "Rome-Berlin Axis Agreement", "", "Our Treaty of Friendship with Italy has been well received.  We are in agreement that the growing presence of communism in the world is the greatest threat of our time.  The pact also includes a provision for a Non-Aggression Treaty which helps our security along our southern borders.", "", "", "", "", "", ""
1205, "Commercial Television", "Commercial Television", "Roosevelt forms FCC to put rules in place for commercial television.", "", "", "", "", "", ""
1206, "Anti-Comintern Includes Italy", "", "Italy's joining of the Anti-Comintern Pact includes a formal agreement for Mutual Defense.", "", "", "", "", "", ""
1207, "Operation Fall Weiss", "Conquer Poland¶", "The time has come to assure 'lebensraum' (living space) for the Germanic people.  The Poles are to be removed from Europe and no trace left behind.  We do not believe France or the UK have the nerve to confront us but should they do so, we will bring them the war they do not want.", "We have succeeded, but the European continent is now in open warfare.", "Fail", "", "", "", ""
1208, "We Shall Fight on the Beaches", "We Will Never Surrender", "Britain rallies as Churchill gives impassioned 'We Shall Fight on the Beaches' speech.", "", "", "", "", "", ""
1209, "Conquer Greece", "Conquer Athens and force Greece¶to Surrender.", "%s Conquer %s", "Success", "Fail", "", "", "", ""
121, "Bond Interest Rates Too High", "Bond Interest Rates Too High", "The interest rates being charged us on new bond issues are simply way too high.  I am no longer using the Bond Market to fund our spending and I strongly suggest we make reduced spending a priority.", "", "", "Agree.  Reduce spending", "Acknowledge", "", ""
1210, "Social Spending - Infrastructure", "Set Inf. Spending to 50%.¶by Oct 26, 1936", "We can spend money on social items in several ways.  Another way to increase supply levels is by spending on our infrastructure.  Higher levels of supply will refuel and resupply our military faster.  It will also improve the output of all of our resources.  Higher supply levels - as affected by 'Infrastructure' spending also improves the construction rate of new facilities.  Increase our daily spending to 50 per cent. (View the tool tip over the slider to check spending values)¶¶ You have until October 26, 1936.", "Our improved supply levels will help in our defense against Japan, should they attack us.", "Our infrastructure is crumbling.  We need to spend money to maintain it.", "", "", "", ""
1211, "Victory Condition - Complete Tutorial", "", "", "", "", "", "", "", ""
1212, "Operation Barbarossa", "Conquer The Soviet Union¶", "Any further delay will only make victory over the Soviets more difficult.  Now is the time to launch Operation Barbarossa and eliminate the Russian threat once and for all.", "Congratulations!  Now that we've defeated Stalin, we can concentrate our efforts on the United Kingdom and possibly beyond...", "You have failed to defeat Russia, ruining our plans for a secure Third Reich.", "", "", "", ""
1213, "Stop Hitler", "Force Germany to Surrender.¶", "We fear that Hitler has only begun and that he will not be happy until all of Europe is part of the Reich.  We must take every step possible to prevent this from happening and reversing the gains he has already made.  There will be no peace in Europe as long as he continues to rule.", "Success", "Fail", "", "", "", ""
1214, "Invade the Philippines", "Conquer the Philippines¶", "As long as the United States has a presence in South East Asia, our plans are at risk.  The Philippines is their biggest base of operations, so obviously this needs to be conquered soon before they can use it to stage attacks against us.", "Success", "Fail", "", "", "", ""
1215, "Defeat Japan", "%s Force %s to Surrender.", "Conquer %s%s", "Success", "Fail", "", "", "", ""
1216, "Second Italo–Ethiopian War", "Eliminate Ethiopia and claim¶Abyssinia.", "Our past humiliation will be buried with new victories.  Conquer Ethiopia so we can create an East African territory from our gains.", "Success", "Fail", "", "", "", ""
1217, "Conquer Albania", "Bring %s%s under Italian control¶", "The Germans and Japanese are not the only ones with territorial ambitions!  %s%s should have been our colony years ago.  Regardless... now is the time to exert our authority!", "Success", "Fail", "", "", "", ""
1218, "Objective Destination", "", "%s is the destination for our 'Supply Model' objective.  ", "", "", "", "", "", ""
1219, "Defend our Border", "", "We should 'garrison' some of the industries and cities close to this border.", "", "", "", "", "", ""
122, "Region Likely Receptive to Offers", "%s Likely Receptive to Diplomatic Offers", "After reviewing our current relationships, it is likely that %s would be receptive to any fair diplomatic offers you might want to make.", "Our analysis of the current diplomatic situation indicates that %s should be receptive to any reasonable diplomatic offers we make.", "", "Acknowledge", "Agree.  Increase Diplomatic Offers", "", ""
1220, "Protect our Ports", "", "Our ports are likely targets of an invasion by the Japanese.   Deploy some troops to this location.", "", "", "", "", "", ""
1221, "Grow our Military", "Deploy at least 275 ships", "It is imperative that we control the sea lanes throughout the South Pacific and the China Sea.  Asserting our naval dominance will not only protect our homeland but deter resupply and reinforcements from reaching our enemies.  We need to deploy at least 275 ships at a minimum and disburse them as strategically as possible.", "Success", "Fail", "", "", "", ""
